Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
627,566,Spider-Man 2099,6,$3.99,Marvel,"39,771"
630,569,Death of Wolverine Logan Legacy,5,$3.99,Marvel,"39,524"
632,567,Night of Living Deadpool,4,$3.99,Marvel,"39,497"
634,574,Hulk,3,$3.99,Marvel,"39,446"
636,880,Ms Marvel,4,$2.99,Marvel,"39,387"
637,571,Deadpool Vs. X-Force,3,$3.99,Marvel,"39,373"
638,376,Deadpool Bi-Annual,1,$4.99,Marvel,"39,369"
640,333,Miracleman,2,$4.99,Marvel,"39,334"
642,578,Fantastic Four,2,$3.99,Marvel,"39,273"
643,572,Deadpool Draculas Gauntlet,2,$3.99,Marvel,"39,238"
644,579,Daredevil,6,$3.99,Marvel,"39,233"
646,582,Thor God of Thunder,20,$3.99,Marvel,"39,121"
647,580,X-Men,16,$3.99,Marvel,"39,100"
651,584,Moon Knight,5,$3.99,Marvel,"38,991"
653,583,Wolverine,5,$3.99,Marvel,"38,910"
655,587,Thor God of Thunder,24,$3.99,Marvel,"38,877"
656,585,Thor God of Thunder,17,$3.99,Marvel,"38,875"
661,624,Original Sin,3.4,$3.99,Marvel,"38,819"
662,593,Superior Iron Man,3,$3.99,Marvel,"38,806"
664,589,Wolverine,4,$3.99,Marvel,"38,717"
667,596,Daredevil,4,$3.99,Marvel,"38,619"
668,594,X-Men,15,$3.99,Marvel,"38,599"
669,590,Hawkeye Vs. Deadpool,2,$3.99,Marvel,"38,577"
670,598,Axis Carnage,1,$3.99,Marvel,"38,433"
673,912,Ms Marvel,6,$2.99,Marvel,"38,366"
674,601,Thor God of Thunder,18,$3.99,Marvel,"38,319"
681,600,Deadpool Draculas Gauntlet,3,$3.99,Marvel,"38,053"
682,611,Moon Knight,6,$3.99,Marvel,"38,019"
683,608,Thor God of Thunder,21,$3.99,Marvel,"38,006"
684,609,Inhuman,3,$3.99,Marvel,"37,962"
687,613,Legendary Star Lord,4,$3.99,Marvel,"37,812"
692,694,Daredevil,8,$3.99,Marvel,"37,585"
693,618,Magneto,3,$3.99,Marvel,"37,572"
694,619,Daredevil,7,$3.99,Marvel,"37,568"
695,939,Hawkeye,16,$2.99,Marvel,"37,547"
697,614,Original Sins,2,$3.99,Marvel,"37,484"
699,621,Kick-Ass 3,7,$3.99,Marvel,"37,310"
701,617,Deadpool Draculas Gauntlet,4,$3.99,Marvel,"37,225"
702,625,Miles Morales Ultimate Spider-Man,3,$3.99,Marvel,"37,203"
703,424,Wolverine Annual,1,$4.99,Marvel,"37,200"
704,646,Captain America,16.NOW,$3.99,Marvel,"37,149"
707,626,Wolverine and X-Men,40,$3.99,Marvel,"37,100"
