Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
520,553,Absolute Carnage Miles Morales,3,$3.99,10/09/19,Marvel,"39,295"
521,558,Avengers,28,$3.99,12/18/19,Marvel,"39,234"
522,571,Avengers No Road Home,2,$3.99,02/20/19,Marvel,"39,234"
523,563,Daredevil,2,$3.99,02/27/19,Marvel,"39,203"
524,381,Agents of Atlas,1,$4.99,08/07/19,Marvel,"39,149"
525,561,Miles Morales Spider-Man,2,$3.99,02/27/19,Marvel,"39,133"
527,369,Spider-Man 2099,1,$4.99,12/11/19,Marvel,"39,098"
528,564,Guardians of the Galaxy,9,$3.99,09/18/19,Marvel,"39,076"
530,662,Tony Stark Iron Man,12,$3.99,06/05/19,Marvel,"39,032"
531,378,Spider-Man Life Story,6,$4.99,08/28/19,Marvel,"38,988"
532,565,Star Wars,65,$3.99,05/01/19,Marvel,"38,981"
533,395,Invaders,1,$4.99,01/16/19,Marvel,"38,977"
534,1231,Amazing Mary Jane,3,$3.99,12/11/19,Marvel,"38,956"
536,570,Fallen Angels,3,$3.99,12/11/19,Marvel,"38,883"
537,537,Star Wars,74,$3.99,11/13/19,Marvel,"38,826"
538,581,Miles Morales Spider-Man,3,$3.99,02/20/19,Marvel,"38,811"
539,432,Web of Black Widow,1,$3.99,09/04/19,Marvel,"38,796"
541,387,Hulkverines,1,$4.99,02/20/19,Marvel,"38,719"
542,383,Absolute Carnage Avengers,1,$4.99,10/16/19,Marvel,"38,670"
545,390,Miles Morales Spider-Man,10,$4.99,09/11/19,Marvel,"38,531"
546,576,Domino Hotshots,1,$3.99,03/06/19,Marvel,"38,355"
549,557,Star Wars,73,$3.99,10/23/19,Marvel,"38,265"
550,462,Guardians of the Galaxy,12,$4.99,12/18/19,Marvel,"38,253"
553,578,Spider-Man & Venom Double Trouble,1,$3.99,11/06/19,Marvel,"38,212"
554,577,Captain America,9,$3.99,04/03/19,Marvel,"38,196"
556,580,Superior Spider-Man,2,$3.99,01/23/19,Marvel,"38,106"
557,584,Guardians of the Galaxy,10,$3.99,10/16/19,Marvel,"37,967"
558,498,New Mutants,98 Facs. Ed.,$3.99,07/03/19,Marvel,"37,936"
560,583,Captain America,13,$3.99,08/28/19,Marvel,"37,898"
562,585,Star Wars,63,$3.99,03/20/19,Marvel,"37,717"
564,589,Star Wars,70,$3.99,08/07/19,Marvel,"37,630"
565,590,Star Wars Vader Dark Visions,2,$3.99,03/27/19,Marvel,"37,625"
566,597,Star Wars Target Vader,1,$3.99,07/03/19,Marvel,"37,515"
567,598,Captain America,11,$3.99,06/19/19,Marvel,"37,477"
567,615,Avengers No Road Home,3,$3.99,02/27/19,Marvel,"37,416"
569,602,King Thor,3,$3.99,11/20/19,Marvel,"37,406"
570,523,Captain Marvel,11,$3.99,10/16/19,Marvel,"37,399"
571,600,Star Wars Age of Rebellion Han Solo,1,$3.99,05/01/19,Marvel,"37,363"
572,601,Daredevil,8,$3.99,07/17/19,Marvel,"37,359"
573,606,Fallen Angels,4,$3.99,12/18/19,Marvel,"37,350"
574,559,Tony Stark Iron Man,13,$3.99,06/19/19,Marvel,"37,261"
576,608,Star Wars,71,$3.99,09/04/19,Marvel,"37,118"
578,549,Miles Morales Spider-Man,11,$3.99,10/09/19,Marvel,"37,079"
582,614,Captain America,10,$3.99,05/08/19,Marvel,"36,948"
585,622,Fantastic Four,16,$3.99,11/06/19,Marvel,"36,779"
586,624,Miles Morales Spider-Man,6,$3.99,05/22/19,Marvel,"36,685"
587,625,Captain America,15,$3.99,10/16/19,Marvel,"36,661"
588,632,Captain Marvel,13,$3.99,12/11/19,Marvel,"36,600"
589,623,Conan The Barbarian,8,$3.99,07/31/19,Marvel,"36,564"
590,626,Fantastic Four,17,$3.99,12/11/19,Marvel,"36,564"
592,627,Star Wars Age of Republic Obi-Wan Kenobi,1,$3.99,01/02/19,Marvel,"36,549"
593,639,Star Wars Age of Rebellion Luke Skywalker,1,$3.99,06/05/19,Marvel,"36,514"
597,642,Avengers No Road Home,4,$3.99,03/06/19,Marvel,"36,433"
598,629,Conan The Barbarian,5,$3.99,04/03/19,Marvel,"36,391"
603,532,X-Men,1 Facs. Ed.,$3.99,07/10/19,Marvel,"36,221"
605,638,Daredevil,7,$3.99,06/19/19,Marvel,"36,159"
606,435,Deadpool,15,$4.99,07/17/19,Marvel,"36,054"
609,312,Doctor Strange,10,$5.99,01/30/19,Marvel,"35,888"
611,650,Avengers No Road Home,5,$3.99,03/13/19,Marvel,"35,862"
612,648,Daredevil,4,$3.99,04/17/19,Marvel,"35,746"
613,661,Friendly Neighborhood Spider-Man,6,$3.99,05/08/19,Marvel,"35,724"
614,645,Star Wars,69,$3.99,07/24/19,Marvel,"35,705"
616,676,Age of Conan Belit,1,$3.99,03/13/19,Marvel,"35,690"
619,111,Amazing Spider-Man Full Circle,1,$9.99,10/23/19,Marvel,"35,616"
620,651,Infinity Wars Infinity,1,$3.99,01/02/19,Marvel,"35,599"
623,653,Daredevil,11,$3.99,09/11/19,Marvel,"35,540"
625,505,Immortal Hulk,2,$3.99,02/13/19,Marvel,"35,442"
627,655,Thanos,3,$3.99,06/26/19,Marvel,"35,372"
629,665,Daredevil,9,$3.99,08/07/19,Marvel,"35,322"
